acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.992,"['Francisco Canaro', 'Charlo']",0.78,161000,0.238,0,757cWe7lwe0BjpY1IRigot,0.0355,3,0.108,-13.552,0,Tu Disfraz - Remasterizado,0,1928-09-20,0.209,121.064,0.844,1928
0.995,['Hikmet Rıza Hanım'],0.449,159496,0.169,0,75AyIcNnQzdiYln6BQJeps,0.832,7,0.0999,-12.993,0,Ayva Çiçek Açmış,0,1928-05-11,0.0497,66.372,0.413,1928
0.993,['Francisco Canaro'],0.766,184000,0.203,0,75PDI4YUCg84Y0Nt0KAKa1,0.169,2,0.147,-10.142,0,Emoción - Instrumental (Remasterizado),0,1928-09-25,0.0728,116.415,0.692,1928
0.995,['Ignacio Corsini'],0.599,135507,0.137,0,75Tt3zPHlYnejhusIUy50f,0.305,5,0.132,-22.342,0,Cualquier Cosa - Remasterizado,0,1928-05-14,0.161,137.384,0.687,1928
0.994,"['Francisco Canaro', 'Charlo']",0.615,170000,0.205,0,75vvVnUqj8PlyJBAZ494p3,0.913,2,0.113,-13.837,1,Pobre Gaucho - Remasterizado,0,1928-10-03,0.0618,58.299,0.752,1928
0.996,"['Alexander Scriabin', 'Vladimir Horowitz']",0.278,288907,0.0049,0,75yPZGkLb31Q4dRFqzMF5z,0.932,11,0.0954,-31.442,1,"Sonata No. 3, Op. 23 in F-Sharp Minor: III. Andante",0,1928,0.0407,81.033,0.0606,1928
0.996,"['Alexander Scriabin', 'Vladimir Horowitz']",0.393,48627,0.0545,0,75zIt9muIwtL6o30PcqskO,0.829,7,0.328,-27.582,1,"Preludes: Op. 11, No. 3 in G",0,1928,0.0366,70.495,0.374,1928
0.105,['Shungi Music Crew'],0.699,388115,0.838,0,764wHEOb2yPgsJHmU0J4ZS,0.909,7,0.128,-12.106,1,Trip to Limpopo,0,1928-08-20,0.0462,123.993,0.481,1928
0.981,['Elsie Houston'],0.78,117362,0.55,0,3yH0dcIQudG7VcC0kB4T8V,0.122,4,0.165,-11.096,0,Óia o Sapo,0,1930-12-31,0.396,83.383,0.847,1930
0.991,['Ignacio Corsini'],0.545,168653,0.133,0,3yZj8i9TwsWAVmBWKdMbaa,0.444,7,0.115,-20.53,0,Cobardia - Remasterizado,0,1930-06-21,0.127,185.062,0.691,1930
0.995,['Francisco Canaro'],0.746,186000,0.159,0,3yqMsVEs3Fq3jzsibskXeY,0.819,8,0.109,-15.106,1,Asuero - Instrumental (Remasterizado),0,1930-11-20,0.189,120.084,0.88,1930
0.981,['Αντώνης Νταλγκάς'],0.273,200693,0.0958,0,3ysZe4AZtpys3VbZabN0Nh,0.00109,1,0.637,-20.217,1,Μπεστενγκιάρ μανές,0,1930-01-01,0.0465,86.281,0.18,1930
0.982,['Stellakis Perpiniadis'],0.503,188120,0.46,0,3zFy6I5USXgmG18E3f1971,0.78,9,0.157,-9.289,0,O milonas,0,1930-01-01,0.0454,79.269,0.909,1930
0.989,['Αντώνης Διαμαντίδης'],0.414,165520,0.229,0,3zGslzrt12d41TKH7xBO5R,0.00067,7,0.121,-10.564,1,Θεοδωράκης Γρίβας,0,1930-01-01,0.0587,74.796,0.325,1930
0.992,"['S. Loukopoulos', 'Klarino G. Anestopoulos', 'Klarino KOstas Giaouzos', 'Klarinos Nikos Karakostas']",0.368,204840,0.263,0,3zK60VaQyLm9Tbrji7v4eX,0.89,9,0.288,-16.263,1,Xipna Pouli Mou To Proi,0,1930-01-01,0.0476,101.447,0.312,1930
0.996,['Paradosiako I. KIriakatis'],0.342,178154,0.308,0,3zYsOagWsmCQ0OwREYFxJ2,0.903,0,0.14,-13.483,1,Kenouria Logia,0,1930-01-01,0.0564,74.733,0.949,1930
0.951,['Moune De Rivel'],0.69,169509,0.714,0,3zhptXjoaB6EF8WUtde9iA,0.000348,0,0.234,-15.857,0,Kiembeli,2,1930-01-01,0.0747,116.188,0.804,1930
0.994,['Dimitris Gkogkos'],0.552,194880,0.275,0,402nzcLa8CkqfeD3GzEy6j,0.829,11,0.11,-12.746,0,Matia glika kai galana,0,1930-01-01,0.0599,117.057,0.544,1930
0.962,['Giorgos Papasideris'],0.32,185307,0.529,0,404Vsdauw3WGz3FG8Qwv9A,0.392,9,0.117,-7.449,1,Kalikie,0,1930-01-01,0.0474,79.649,0.858,1930
0.994,"['Petros Epitropakis', 'Antonis Kalampousis']",0.144,211399,0.331,0,40AkLtfyKR89OxRaf3X9zh,0.88,4,0.145,-13.406,0,San Oneiro,0,1930-01-01,0.0428,71.956,0.164,1930
0.29,['Cellular Project'],0.344,192332,0.857,0,40P3zk2IX1Iannfbz89mO2,0.874,3,0.125,-5.441,1,Purple Daze,0,1930,0.0507,140.669,0.158,1930
0.971,"['Francisco Canaro', 'Luis Diaz']",0.807,207493,0.202,0,40c7MoKLp6KVavEdHLBINz,0.161,6,0.0561,-13.675,1,Cascabeles - Remasterizado,0,1930-12-03,0.184,115.364,0.886,1930
0.989,"['Francisco Canaro', 'Charlo']",0.445,185507,0.288,0,40jiorcB4ujhNCJEM3NYRz,0.758,2,0.111,-8.925,1,Cantando Bajo la Lluvia - Remasterizado,0,1930-11-12,0.0699,205.423,0.697,1930
0.996,['Sotiris Stasinopoulos'],0.269,271560,0.319,0,40lNmAqzsDxT1aV39oakv4,0.882,7,0.196,-16.218,1,Kovo Mia Klara,0,1930-01-01,0.0514,75.833,0.447,1930
0.971,['Nota Kaleli'],0.74,30000,0.508,0,40q1O23P19AcDSghky2Ct3,0.946,2,0.134,-11.353,1,Pagkratiotissa mou,0,1930-01-01,0.063,76.43,0.967,1930
0.87,['Robert Francis'],0.353,137090,0.0785,0,41FFRKj6ehfOer45QC85mm,2.21E-06,0,0.112,-18.434,0,My Funny Valentine,2,1930,0.0376,70.535,0.261,1930
0.99,"['Francisco Canaro', 'Roberto Maida']",0.518,174493,0.462,0,41fXcqGebIUYOFQvDzqLJG,0.85,4,0.157,-9.632,0,A Lo Lejos - Remasterizado,0,1930-12-03,0.377,178.88,0.696,1930
